Ticker,Company Name
ARNA,PT Arwana Citramulia Tbk
NOBU,PT Bank Nationalnobu Tbk
MASB,PT Bank Multiarta Sentosa Tbk
BIRD,PT Blue Bird Tbk
ARGO,PT Argo Pantes Tbk
BISI,PT BISI International Tbk
SAME,PT Sarana Meditama Metropolitan Tbk
MPMX,PT Mitra Pinasthika Mustika Tbk
NSSS,PT Nusantara Sawit Sejahtera Tbk
GJTL,PT. Gajah Tunggal Tbk
GMTD,PT Gowa Makassar Tourism Development Tbk
VICI,PT Victoria Care Indonesia Tbk
TUGU,PT Asuransi Tugu Pratama Indonesia Tbk
MNCN,PT. Media Nusantara Citra Tbk
TOBA,PT TBS Energi Utama Tbk
MAPB,PT. Map Boga Adiperkasa Tbk
KAEF,PT Kimia Farma Tbk
JSPT,PT Jakarta Setiabudi Internasional Tbk
MBAP,PT Mitrabara Adiperdana Tbk
BDKR,PT Berdikari Pondasi Perkasa Tbk
SAMF,"PT Saraswanti Anugerah Makmur, Tbk"
CBUT,PT Citra Borneo Utama Tbk
UCID,PT Uni-Charm Indonesia Tbk
AMAR,PT Bank Amar Indonesia Tbk
YULE,PT Yulie Sekuritas Indonesia Tbk
RDTX,PT Roda Vivatex Tbk
TBLA,PT Tunas Baru Lampung Tbk
BHIT,PT MNC Asia Holding Tbk
PNIN,PT Paninvest Tbk
BBYB,PT Bank Neo Commerce Tbk
BCAP,PT MNC Kapital Indonesia Tbk
KIJA,PT Kawasan Industri Jababeka Tbk
SGRO,PT Sampoerna Agro Tbk
SURE,PT Super Energy Tbk
LPPF,PT Matahari Department Store Tbk
BMTR,PT Global Mediacom Tbk
BABP,PT Bank MNC Internasional Tbk
FISH,PT FKS Multi Agro Tbk
MARK,PT Mark Dynamics Indonesia Tbk
AGRS,PT Bank IBK Indonesia Tbk
ELSA,PT Elnusa Tbk
PBID,PT Panca Budi Idaman Tbk
MTLA,PT Metropolitan Land Tbk
CARE,PT Metro Healthcare Indonesia Tbk
BALI,PT Bali Towerindo Sentra Tbk
MAHA,PT Mandiri Herindo Adiperkasa Tbk
UNIC,PT Unggul Indah Cahaya Tbk
NIRO,PT City Retail Developments Tbk
RAAM,PT Tripar Multivision Plus Tbk
NICL,PT PAM Mineral Tbk
APLN,PT Agung Podomoro Land Tbk
MCOR,PT Bank China Construction Bank Indonesia Tbk
CASS,PT Cardig Aero Services Tbk
CPRO,PT Central Proteina Prima Tbk
PTPP,PT PP (Persero) Tbk
MYOH,PT Samindo Resources Tbk
PSGO,PT Palma Serasih Tbk
ARKO,PT. Arkora Hydro Tbk
PRDA,PT Prodia Widyahusada Tbk
MMLP,PT Mega Manunggal Property Tbk
MAYA,PT Bank Mayapada Internasional Tbk
KKGI,PT Resource Alam Indonesia Tbk
CSAP,PT Catur Sentosa Adiprana Tbk
PORT,PT Nusantara Pelabuhan Handal Tbk
SHIP,PT Sillo Maritime Perdana Tbk
ASSA,PT Adi Sarana Armada Tbk
HERO,PT Hero Supermarket Tbk
BRAM,PT Indo Kordsa Tbk
BACA,PT Bank Capital Indonesia Tbk
BNBA,PT Bank Bumi Arta Tbk
ADHI,PT Adhi Karya (Persero) Tbk
RMKE,PT RMK Energy Tbk
KRAS,PT Krakatau Steel (Persero) Tbk
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk
BUKK,PT Bukaka Teknik Utama Tbk.
BHAT,PT Bhakti Multi Artha Tbk
SAPX,PT Satria Antaran Prima Tbk
ABDA,PT Asuransi Bina Dana Arta Tbk
KEEN,PT Kencana Energi Lestari Tbk
KARW,PT Meratus Jasa Prima Tbk
TPMA,PT Trans Power Marine Tbk
SFAN,PT Surya Fajar Capital Tbk
JARR,PT Jhonlin Agro Raya Tbk
SMBR,PT Semen Baturaja (Persero) Tbk
BMHS,PT Bundamedik Tbk
PGUN,PT Pradiksi Gunatama Tbk
NICE,PT Adhi Kartiko Pratama Tbk
MLIA,PT Mulia Industrindo Tbk
BOLT,PT Garuda Metalindo Tbk
SMMT,PT Golden Eagle Energy Tbk
MGRO,PT Mahkota Group Tbk
SMDM,PT Suryamas Dutamakmur Tbk
RALS,PT Ramayana Lestari Sentosa Tbk
SKRN,PT Superkrane Mitra Utama Tbk
ANJT,PT Austindo Nusantara Jaya Tbk
VICO,PT Victoria Investama Tbk
INDR,PT. Indo-Rama Synthetics Tbk
MTMH,PT Murni Sadar Tbk
TOTO,PT Surya Toto Indonesia Tbk
PSSI,PT IMC Pelita Logistik Tbk
MSJA,PT Multi Spunindo Jaya Tbk
KEJU,PT Mulia Boga Raya Tbk
JAWA,PT Jaya Agra Wattie Tbk
PMJS,PT Putra Mandiri Jembar Tbk
BKSW,PT Bank QNB Indonesia Tbk
ISSP,PT Steel Pipe Industry of Indonesia Tbk
ENAK,PT Champ Resto Indonesia Tbk
DILD,PT Intiland Development Tbk
CYBR,PT ITSEC Asia Tbk
TOTL,PT Total Bangun Persada Tbk
WINS,PT Wintermar Offshore Marine Tbk
NETV,PT Net Visi Media Tbk
AMFG,PT Asahimas Flat Glass Tbk
WIIM,PT Wismilak Inti Makmur Tbk
LPCK,PT Lippo Cikarang Tbk
PNBS,PT Bank Panin Dubai Syariah Tbk
TRIM,PT Trimegah Sekuritas Indonesia Tbk
HITS,PT Humpuss Intermoda Transportasi Tbk.
IFSH,PT Ifishdeco Tbk
DLTA,PT Delta Djakarta Tbk
INDS,PT Indospring Tbk
KMTR,PT Kirana Megatara Tbk
DVLA,PT Darya-Varia Laboratoria Tbk
CAMP,"PT Campina Ice Cream Industry, Tbk."
CTBN,PT Citra Tubindo Tbk
HATM,PT Habco Trans Maritima Tbk
BCIC,PT Bank JTrust Indonesia Tbk
FAST,PT Fast Food Indonesia Tbk
UNIQ,PT Ulima Nitra Tbk
JTPE,PT Jasuindo Tiga Perkasa Tbk
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk
DEPO,PT Caturkarda Depo Bangunan Tbk
IMJS,PT Indomobil Multi Jasa Tbk
KINO,PT Kino Indonesia Tbk
SCCO,PT Supreme Cable Manufacturing & Commerce Tbk
MAIN,PT Malindo Feedmill Tbk
IFII,PT Indonesia Fibreboard Industry Tbk
MBSS,PT Mitrabahtera Segara Sejati Tbk
HRTA,PT Hartadinata Abadi Tbk
BWPT,PT Eagle High Plantations Tbk
SIPD,PT Sreeya Sewu Indonesia Tbk
FORU,PT Fortune Indonesia Tbk
MERK,PT Merck Tbk
SUNI,PT Sunindo Pratama Tbk
KBLI,PT KMI Wire and Cable Tbk
BLTZ,PT Graha Layar Prima Tbk
CFIN,PT. Clipan Finance Indonesia Tbk
AMAG,PT Asuransi Multi Artha Guna Tbk
PDPP,PT Primadaya Plastisindo Tbk
BULL,PT Buana Lintas Lautan Tbk
JKON,PT Jaya Konstruksi Manggala Pratama Tbk
AMOR,PT Ashmore Asset Management Indonesia Tbk
TRGU,PT Cerestar Indonesia Tbk
PYFA,PT Pyridam Farma Tbk
ACST,PT Acset Indonusa Tbk
SPTO,PT Surya Pertiwi Tbk
GRIA,PT Ingria Pratama Capitalindo Tbk
BGTG,PT Bank Ganesha Tbk
WOOD,PT Integra Indocabinet Tbk
LTLS,PT Lautan Luas Tbk
BSBK,PT Wulandari Bangun Laksana Tbk
MKTR,PT Menthobi Karyatama Raya Tbk
BUAH,PT Segar Kumala Indonesia Tbk
IPTV,PT MNC Vision Networks Tbk
CENT,PT Centratama Telekomunikasi Indonesia Tbk
PNGO,PT PINAGO UTAMA Tbk
IPCM,PT Jasa Armada Indonesia Tbk
DEWA,PT Darma Henwa Tbk
DNAR,PT Bank Oke Indonesia Tbk
INPC,PT Bank Artha Graha Internasional Tbk
TRST,PT Trias Sentosa Tbk
MKAP,PT Multikarya Asia Pasifik Raya Tbk
PPRO,PT Pembangunan Perumahan Properti Tbk
ERAL,PT Sinar Eka Selaras Tbk
CSRA,PT Cisadane Sawit Raya Tbk
BVIC,PT Bank Victoria International Tbk
ASLC,PT Autopedia Sukses Lestari Tbk
MLPL,PT Multipolar Tbk
WOMF,PT Wahana Ottomitra Multiartha Tbk
BEST,PT Bekasi Fajar Industrial Estate Tbk
HOKI,PT Buyung Poetra Sembada Tbk
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk
IATA,PT MNC Energy Investments Tbk
IPCC,PT Indonesia Kendaraan Terminal Tbk
SOCI,PT Soechi Lines Tbk
ARII,PT Atlas Resources Tbk
CEKA,PT Wilmar Cahaya Indonesia Tbk.
SKLT,PT Sekar Laut Tbk
AISA,PT FKS Food Sejahtera Tbk
FMII,PT Fortune Mate Indonesia Tbk
NATO,PT Surya Permata Andalan Tbk
BEKS,"PT. Bank Pembangunan Daerah Banten, Tbk"
NFCX,PT NFC Indonesia Tbk
OMRE,PT Indonesia Prima Property Tbk
DAYA,PT Duta Intidaya Tbk
PANS,PT Panin Sekuritas Tbk
BBLD,PT Buana Finance Tbk
IBOS,PT Indo Boga Sukses Tbk
BUVA,PT Bukit Uluwatu Villa Tbk
SHID,PT Hotel Sahid Jaya International Tbk
GDST,PT Gunawan Dianjaya Steel Tbk
GWSA,PT Greenwood Sejahtera Tbk
MCAS,PT M Cash Integrasi Tbk
ASGR,PT Astra Graphia Tbk
ADCP,PT Adhi Commuter Properti Tbk
WSBP,PT Waskita Beton Precast Tbk
NELY,PT Pelayaran Nelly Dwi Putri Tbk
CHIP,PT Pelita Teknologi Global Tbk
BEEF,PT Estika Tata Tiara Tbk
PTSN,PT Sat Nusapersada Tbk
ARTA,PT Arthavest Tbk
CMPP,PT AirAsia Indonesia Tbk
ALDO,PT Alkindo Naratama Tbk
MSKY,PT MNC Sky Vision Tbk
PJAA,PT Pembangunan Jaya Ancol Tbk
HUMI,PT Humpuss Maritim Internasional Tbk
RSGK,PT Kedoya Adyaraya Tbk
AWAN,PT Era Digital Media Tbk
BUDI,PT Budi Starch & Sweetener Tbk
WIRG,PT WIR ASIA Tbk
LPGI,PT Lippo General Insurance Tbk
UANG,PT Pakuan Tbk
WTON,PT Wijaya Karya Beton Tbk
HDFA,PT Radana Bhaskara Finance Tbk
DWGL,PT Dwi Guna Laksana Tbk
FPNI,PT Lotte Chemical Titan Tbk
LIVE,PT Homeco Victoria Makmur Tbk
TCID,PT. Mandom Indonesia Tbk
SPMA,PT Suparma Tbk
ITMA,PT Sumber Energi Andalan Tbk
VOKS,PT Voksel Electric Tbk
ATIC,PT Anabatic Technologies Tbk
SONA,PT Sona Topas Tourism Industry Tbk
GHON,PT Gihon Telekomunikasi Indonesia Tbk
DMMX,PT Digital Mediatama Maxima Tbk
OASA,PT Maharaksa Biru Energi Tbk
DATA,PT Remala Abadi Tbk
NRCA,PT Nusa Raya Cipta Tbk
PBSA,PT Paramita Bangun Sarana Tbk
TEBE,PT Dana Brata Luhur Tbk
RSCH,PT Charlie Hospital Semarang Tbk
RANC,PT Supra Boga Lestari Tbk
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk
BPFI,PT Woori Finance Indonesia Tbk
UNTD,PT Terang Dunia Internusa Tbk
WEGE,PT Wijaya Karya Bangunan Gedung Tbk
PPRE,PT PP Presisi Tbk
BIKE,PT Sepeda Bersama Indonesia Tbk
PTPW,PT Pratama Widya Tbk
IPOL,PT Indopoly Swakarsa Industry Tbk
EKAD,PT Ekadharma International Tbk
RELI,PT Reliance Sekuritas Indonesia Tbk
AXIO,PT Tera Data Indonusa Tbk
JIHD,PT Jakarta International Hotels & Development Tbk
APLI,PT Asiaplast Industries Tbk
ZONE,PT Mega Perintis Tbk
GSMF,PT Equity Development Investment Tbk
BEER,PT Jobubu Jarum Minahasa TBK
SMGA,PT Sumber Mineral Global Abadi Tbk
IRRA,PT Itama Ranoraya Tbk
VTNY,PT Venteny Fortuna International Tbk
BBRM,PT Pelayaran Nasional Bina Buana Raya Tbk
WINE,PT HATTEN BALI Tbk
TAMU,PT Pelayaran Tamarin Samudra Tbk
BRNA,PT Berlina Tbk
MTFN,PT Capitalinc Investment Tbk
GTBO,PT Garda Tujuh Buana Tbk
RODA,PT Pikko Land Development Tbk
IOTF,PT Sumber Sinergi Makmur Tbk
INRU,PT Toba Pulp Lestari Tbk
MPPA,PT Matahari Putra Prima Tbk
BOLA,PT Bali Bintang Sejahtera Tbk
MOLI,PT Madusari Murni Indah Tbk
PZZA,PT Sarimelati Kencana Tbk
TBMS,PT Tembaga Mulia Semanan Tbk
ELTY,PT Bakrieland Development Tbk
MFMI,PT Multifiling Mitra Indonesia Tbk
DKFT,PT Central Omega Resources Tbk
PANR,PT Panorama Sentrawisata Tbk
NIKL,PT Pelat Timah Nusantara Tbk
SURI,PT Maja Agung Latexindo Tbk
UFOE,PT Damai Sejahtera Abadi Tbk
GDYR,PT Goodyear Indonesia Tbk
VISI,PT Satu Visi Putra Tbk
WIFI,PT Solusi Sinergi Digital Tbk
SMKL,PT Satyamitra Kemas Lestari Tbk
MDLN,PT Modernland Realty Tbk
DART,PT Duta Anggada Realty Tbk.
KDSI,PT Kedawung Setia Industrial Tbk
TRIN,PT Perintis Triniti Properti Tbk
POLU,PT Golden Flower Tbk
SULI,PT SLJ Global Tbk
AREA,PT Dunia Virtual Online Tbk
AHAP,PT Asuransi Harta Aman Pratama Tbk
TRIS,PT Trisula International Tbk
KETR,PT Ketrosden Triasmitra
LABA,PT Green Power Group Tbk
BABY,PT Multitrend Indo Tbk
BELL,PT Trisula Textile Industries Tbk
INET,PT Sinergi Inti Andalan Prima Tbk
APEX,PT Apexindo Pratama Duta Tbk
HAIS,PT Hasnur Internasional Shipping Tbk
EMDE,PT Megapolitan Developments Tbk
BINO,PT Perma Plasindo Tbk
GZCO,PT Gozco Plantations Tbk
SQMI,PT Wilton Makmur indonesia Tbk.
MTWI,PT Malacca Trust Wuwungan Insurance Tbk
BESS,PT Batulicin Nusantara Maritim Tbk
MREI,PT Maskapai Reasuransi Indonesia Tbk
IKBI,PT Sumi Indo Kabel Tbk
BLTA,PT Berlian Laju Tanker Tbk
MAXI,PT Maxindo Karya Anugerah Tbk
SKBM,PT Sekar Bumi Tbk
STRK,PT Lovina Beach Brewery Tbk
GTSI,PT GTS Internasional Tbk
GLVA,PT Galva Technologies Tbk
CRAB,PT Toba Surimi Industries Tbk
DYAN,PT Dyandra Media International Tbk
ADMG,PT. Polychem Indonesia Tbk
INDO,PT Royalindo Investa Wijaya Tbk
IKPM,PT Ikapharmindo Putramas Tbk
GULA,PT Aman Agrindo Tbk
VRNA,PT Mizuho Leasing Indonesia Tbk
EAST,PT Eastparc Hotel Tbk
MITI,PT Mitra Investindo Tbk
BAYU,PT Bayu Buana Tbk
PMMP,PT Panca Mitra Multiperdana Tbk
IGAR,PT Champion Pacific Indonesia Tbk
JECC,PT Jembo Cable Company Tbk
MDKI,PT Emdeki Utama Tbk
AYAM,PT Janu Putra Sejahtera Tbk.
URBN,PT Urban Jakarta Propertindo Tbk.
AMAN,PT Makmur Berkah Amanda Tbk
TYRE,PT King Tire Indonesia Tbk
ASRM,PT Asuransi Ramayana Tbk
DOOH,PT Era Media Sejahtera Tbk
KING,PT Hoffmen Cleanindo Tbk
CITY,PT Natura City Developments Tbk
TALF,PT Tunas Alfin Tbk
